no_bon,id_pelanggan,tanggal_bon,kota,id_produk,jumlah_terjual,diskon,rating,Komplain,nama_pelanggan,gender,tanggal_lahir,jenis_barang,merek_barang,harga_satuan,modal,tahun_lahir,generasi,profit_per_item,total_profit,total_revenue
BON01039,PEL00282,2023-03-20,Bandung,PRD00048,21,5,2,no,Dewi VON,P,1977-10-25,Laptop,Lenovo,19750000.0,14463191.0,1977,Gen X,5286809.0,111022989.0,414750000.0
BON01041,PEL01490,2025-01-15,Bekasi,PRD00046,18,5,1,yes,Joko QUQ,L,1997-11-16,Laptop,ASUS,12000000.0,10206638.0,1997,Gen Z,1793362.0,32280516.0,216000000.0
BON01042,PEL00144,2024-03-25,Bandung,PRD00012,19,10,4,no,Rudi NCE,L,1983-09-20,Monitor,MSI,1800000.0,1596299.0,1983,Milenial,203701.0,3870319.0,34200000.0
BON01043,PEL01978,2021-04-13,Bandung,PRD00011,18,0,2,no,Tina YMH,P,1987-06-13,Monitor,Acer,1000000.0,747733.0,1987,Milenial,252267.0,4540806.0,18000000.0
BON01044,PEL01407,2024-10-14,Depok,PRD00050,28,0,5,no,Dewi CHC,P,2003-12-16,Laptop,MSI,19750000.0,17633164.0,2003,Gen Z,2116836.0,59271408.0,553000000.0
BON01045,PEL01672,2022-01-03,Bandung,PRD00020,23,0,1,yes,Rudi BMG,L,1965-02-25,Keyboard,Samsung,600000.0,501505.0,1965,Gen X,98495.0,2265385.0,13800000.0
BON01046,PEL00751,2024-01-03,Tangerang,PRD00049,22,15,2,no,Rina ILV,P,1996-02-15,Laptop,Dell,11750000.0,7974594.0,1996,Gen Z,3775406.0,83058932.0,258500000.0
BON01047,PEL00799,2025-05-02,Tangerang,PRD00018,23,15,4,no,Rina FWI,P,1998-10-07,Keyboard,HP,800000.0,605976.0,1998,Gen Z,194024.0,4462552.0,18400000.0
BON01049,PEL01416,2021-10-25,Bogor,PRD00019,16,10,2,no,Sari GID,P,1967-08-01,Keyboard,Brother,1150000.0,843532.0,1967,Gen X,306468.0,4903488.0,18400000.0
BON01050,PEL01610,2021-12-04,Jakarta,PRD00011,31,25,3,no,Sari BWD,P,1983-08-02,Monitor,Acer,1000000.0,747733.0,1983,Milenial,252267.0,7820277.0,31000000.0
BON01051,PEL00951,2024-11-06,Bandung,PRD00001,22,10,3,no,Rudi WFI,L,1981-03-23,Mouse,Logitech,125000.0,107423.0,1981,Milenial,17577.0,386694.0,2750000.0
BON01053,PEL01337,2022-02-09,Depok,PRD00020,28,0,4,no,Dedi AMV,L,1984-02-26,Keyboard,Samsung,600000.0,501505.0,1984,Milenial,98495.0,2757860.0,16800000.0
BON01054,PEL01550,2023-12-26,Bekasi,PRD00023,61,25,5,no,Rudi GQD,L,1979-01-27,Keyboard,Ricoh,450000.0,375091.0,1979,Gen X,74909.0,4569449.0,27450000.0
BON01055,PEL01443,2021-06-22,Bogor,PRD00029,21,5,4,no,Rina MKR,P,1974-03-17,Printer,Brother,900000.0,607976.0,1974,Gen X,292024.0,6132504.0,18900000.0
BON01056,PEL01127,2024-04-18,Bandung,PRD00023,27,0,2,no,Rudi NOB,L,1975-06-10,Keyboard,Ricoh,450000.0,375091.0,1975,Gen X,74909.0,2022543.0,12150000.0
BON01058,PEL01751,2024-11-28,Bekasi,PRD00032,15,0,5,no,Agus AAY,L,1990-08-05,Printer,Lexmark,2500000.0,1828761.0,1990,Milenial,671239.0,10068585.0,37500000.0
BON01059,PEL01394,2021-12-11,Bekasi,PRD00018,99,25,5,no,Rudi GYA,L,1978-04-21,Keyboard,HP,800000.0,605976.0,1978,Gen X,194024.0,19208376.0,79200000.0
BON01060,PEL00409,2022-11-07,Depok,PRD00007,30,10,5,no,Lia TIZ,P,1999-09-02,Monitor,Dell,1850000.0,1578030.0,1999,Gen Z,271970.0,8159100.0,55500000.0
BON01061,PEL01357,2024-09-01,Jakarta,PRD00034,24,0,4,no,Dewi GCN,P,1976-06-20,Printer,Kyocera,2200000.0,1936263.0,1976,Gen X,263737.0,6329688.0,52800000.0
BON01062,PEL00397,2023-03-07,Bandung,PRD00032,10,10,3,no,Lia WOE,P,1983-12-11,Printer,Lexmark,2500000.0,1828761.0,1983,Milenial,671239.0,6712390.0,25000000.0
BON01063,PEL00005,2021-03-03,Depok,PRD00011,14,0,4,no,Agus IHL,L,1973-03-13,Monitor,Acer,1000000.0,747733.0,1973,Gen X,252267.0,3531738.0,14000000.0
BON01064,PEL01559,2024-05-12,Bandung,PRD00056,22,15,2,no,Agus QOB,L,1973-09-09,PC Rakitan,MJ002,11000000.0,8515886.0,1973,Gen X,2484114.0,54650508.0,242000000.0
BON01065,PEL00343,2023-08-01,Jakarta,PRD00047,22,0,3,no,Budi ECD,L,1983-02-25,Laptop,HP,4750000.0,3623315.0,1983,Milenial,1126685.0,24787070.0,104500000.0
BON01066,PEL01002,2021-11-03,Bandung,PRD00007,13,0,3,no,Tina IIN,P,1971-06-02,Monitor,Dell,1850000.0,1578030.0,1971,Gen X,271970.0,3535610.0,24050000.0
BON01067,PEL01008,2023-09-26,Tangerang,PRD00045,21,10,1,yes,Rina HPV,P,1987-08-15,Laptop,Acer,5000000.0,4016132.0,1987,Milenial,983868.0,20661228.0,105000000.0
BON01068,PEL01359,2021-07-05,Bekasi,PRD00027,16,10,3,no,Rina GJW,P,1998-10-28,Printer,Epson,1800000.0,1129863.0,1998,Gen Z,670137.0,10722192.0,28800000.0
BON01070,PEL00230,2023-12-28,Depok,PRD00023,66,25,2,no,Rudi DQU,L,2005-05-22,Keyboard,Ricoh,450000.0,375091.0,2005,Gen Z,74909.0,4943994.0,29700000.0
BON01071,PEL01517,2021-10-01,Bandung,PRD00026,13,15,2,no,Agus XGW,L,1972-03-17,Printer,Canon,1800000.0,1375032.0,1972,Gen X,424968.0,5524584.0,23400000.0
BON01072,PEL01959,2023-05-27,Bandung,PRD00012,18,0,5,no,Agus SRP,L,1996-09-26,Monitor,MSI,1800000.0,1596299.0,1996,Gen Z,203701.0,3666618.0,32400000.0
BON01073,PEL00223,2024-06-24,Jakarta,PRD00063,18,15,5,no,Tina FTY,P,1981-06-20,PC Rakitan,MJ009,23500000.0,18708453.0,1981,Milenial,4791547.0,86247846.0,423000000.0
BON01074,PEL01651,2022-10-26,Depok,PRD00024,12,10,3,no,Sari LFS,P,1987-04-09,Keyboard,Kyocera,850000.0,759960.0,1987,Milenial,90040.0,1080480.0,10200000.0
BON01076,PEL00447,2025-01-21,Bekasi,PRD00015,22,0,5,no,Agus YTG,L,1999-03-04,Monitor,ViewSonic,1950000.0,1227395.0,1999,Gen Z,722605.0,15897310.0,42900000.0
BON01077,PEL00776,2023-03-07,Bandung,PRD00034,24,0,2,no,Rudi KSN,L,1991-06-05,Printer,Kyocera,2200000.0,1936263.0,1991,Milenial,263737.0,6329688.0,52800000.0
BON01078,PEL00185,2021-04-28,Bandung,PRD00005,14,10,3,no,Joko FOE,L,1988-01-06,Mouse,Microsoft,225000.0,178221.0,1988,Milenial,46779.0,654906.0,3150000.0
BON01079,PEL00380,2024-12-08,Bekasi,PRD00018,50,25,3,no,Dewi BZC,P,1971-05-08,Keyboard,HP,800000.0,605976.0,1971,Gen X,194024.0,9701200.0,40000000.0
BON01080,PEL00818,2023-09-10,Bekasi,PRD00046,12,10,3,no,Budi ENS,L,1986-12-01,Laptop,ASUS,12000000.0,10206638.0,1986,Milenial,1793362.0,21520344.0,144000000.0
BON01081,PEL01936,2022-04-01,Bandung,PRD00017,29,15,3,no,Sari TJT,P,1977-04-02,Keyboard,Epson,1250000.0,983813.0,1977,Gen X,266187.0,7719423.0,36250000.0
BON01082,PEL01902,2025-06-26,Tangerang,PRD00033,15,0,5,no,Joko FCS,L,1992-09-26,Printer,Ricoh,1800000.0,1412073.0,1992,Milenial,387927.0,5818905.0,27000000.0
BON01083,PEL00040,2022-06-02,Bogor,PRD00012,28,10,4,no,Budi ZEU,L,2004-11-10,Monitor,MSI,1800000.0,1596299.0,2004,Gen Z,203701.0,5703628.0,50400000.0
BON01084,PEL00270,2024-08-10,Bekasi,PRD00071,13,10,2,no,Sari MJC,P,2003-06-10,PC Rakitan,MJ017,25000000.0,19070970.0,2003,Gen Z,5929030.0,77077390.0,325000000.0
BON01086,PEL01681,2024-11-13,Bandung,PRD00074,21,0,2,no,Sari YAQ,P,2002-08-10,PC Rakitan,MJ020,21500000.0,13410455.0,2002,Gen Z,8089545.0,169880445.0,451500000.0
BON01087,PEL01308,2021-05-06,Bekasi,PRD00030,17,5,2,no,Dedi PIK,L,1991-11-02,Printer,Samsung,2700000.0,1800182.0,1991,Milenial,899818.0,15296906.0,45900000.0
BON01089,PEL01332,2021-01-23,Bandung,PRD00007,14,5,4,no,Sari RVK,P,1998-07-27,Monitor,Dell,1850000.0,1578030.0,1998,Gen Z,271970.0,3807580.0,25900000.0
BON01090,PEL01530,2023-09-03,Bekasi,PRD00002,28,5,2,no,Budi EBE,L,1994-11-17,Mouse,Razer,125000.0,87603.0,1994,Milenial,37397.0,1047116.0,3500000.0
BON01092,PEL01062,2024-11-16,Bekasi,PRD00074,13,0,2,no,Dewi JIM,P,1991-08-12,PC Rakitan,MJ020,21500000.0,13410455.0,1991,Milenial,8089545.0,105164085.0,279500000.0
BON01094,PEL00863,2021-04-28,Depok,PRD00039,27,5,1,yes,Joko ATY,L,1986-12-10,Speaker,Logitech,900000.0,573618.0,1986,Milenial,326382.0,8812314.0,24300000.0
BON01096,PEL01736,2023-09-04,Bogor,PRD00026,17,0,3,no,Dewi ZMW,P,1976-03-02,Printer,Canon,1800000.0,1375032.0,1976,Gen X,424968.0,7224456.0,30600000.0
BON01097,PEL01537,2022-04-26,Jakarta,PRD00031,15,10,2,no,Dewi VDA,P,1975-08-28,Printer,Xerox,2700000.0,1999288.0,1975,Gen X,700712.0,10510680.0,40500000.0
BON01098,PEL00854,2021-11-04,Depok,PRD00022,11,10,1,yes,Rina GRC,P,1967-08-10,Keyboard,Lexmark,550000.0,477099.0,1967,Gen X,72901.0,801911.0,6050000.0
BON01099,PEL01418,2023-03-23,Depok,PRD00009,12,0,3,no,Lia XKJ,P,1995-02-22,Monitor,Samsung,1600000.0,1139107.0,1995,Gen Z,460893.0,5530716.0,19200000.0
BON01101,PEL00903,2021-07-07,Depok,PRD00029,13,0,3,no,Lia FUV,P,1987-03-26,Printer,Brother,900000.0,607976.0,1987,Milenial,292024.0,3796312.0,11700000.0
BON01102,PEL01149,2023-07-11,Bekasi,PRD00013,12,0,5,no,Dewi XTF,P,1965-05-11,Monitor,Gigabyte,1100000.0,754049.0,1965,Gen X,345951.0,4151412.0,13200000.0
BON01103,PEL00581,2021-07-05,Bogor,PRD00008,30,10,2,no,Tina WRF,P,1966-01-04,Monitor,ASUS,1850000.0,1548728.0,1966,Gen X,301272.0,9038160.0,55500000.0
BON01105,PEL01986,2023-01-20,Bogor,PRD00047,28,10,2,no,Tina WGM,P,1995-08-27,Laptop,HP,4750000.0,3623315.0,1995,Gen Z,1126685.0,31547180.0,133000000.0
BON01106,PEL00413,2025-04-16,Bandung,PRD00005,14,0,1,yes,Rina BXP,P,1984-10-21,Mouse,Microsoft,225000.0,178221.0,1984,Milenial,46779.0,654906.0,3150000.0
BON01108,PEL00848,2024-02-10,Tangerang,PRD00012,15,5,1,yes,Rudi USM,L,1981-06-05,Monitor,MSI,1800000.0,1596299.0,1981,Milenial,203701.0,3055515.0,27000000.0
BON01109,PEL01990,2023-09-12,Bogor,PRD00047,19,0,4,no,Agus SSQ,L,1998-07-01,Laptop,HP,4750000.0,3623315.0,1998,Gen Z,1126685.0,21407015.0,90250000.0
BON01111,PEL01021,2022-03-22,Bekasi,PRD00004,14,5,1,yes,Joko DXG,L,2005-06-12,Mouse,Corsair,425000.0,267954.0,2005,Gen Z,157046.0,2198644.0,5950000.0
BON01112,PEL00496,2022-08-14,Jakarta,PRD00013,10,0,1,yes,Rina IEH,P,1982-01-14,Monitor,Gigabyte,1100000.0,754049.0,1982,Milenial,345951.0,3459510.0,11000000.0
BON01113,PEL01719,2021-09-27,Bogor,PRD00017,30,5,3,no,Agus RCB,L,1990-10-24,Keyboard,Epson,1250000.0,983813.0,1990,Milenial,266187.0,7985610.0,37500000.0
BON01114,PEL01935,2024-04-18,Bogor,PRD00059,21,5,5,no,Lia HJL,P,1995-05-08,PC Rakitan,MJ005,29000000.0,22230419.0,1995,Gen Z,6769581.0,142161201.0,609000000.0
BON01115,PEL01377,2024-12-27,Tangerang,PRD00054,48,25,3,no,Rina LWW,P,1975-12-15,Laptop,Apple,17750000.0,15174836.0,1975,Gen X,2575164.0,123607872.0,852000000.0
BON01116,PEL00329,2024-05-07,Tangerang,PRD00003,19,0,1,yes,Tina WZV,P,1996-04-01,Mouse,SteelSeries,450000.0,358724.0,1996,Gen Z,91276.0,1734244.0,8550000.0
BON01117,PEL00019,2022-12-18,Jakarta,PRD00035,94,25,3,no,Agus HWM,L,2001-12-08,Printer,Panasonic,2000000.0,1788056.0,2001,Gen Z,211944.0,19922736.0,188000000.0
BON01118,PEL00294,2022-03-21,Depok,PRD00003,22,15,2,no,Dewi OQE,P,2001-12-04,Mouse,SteelSeries,450000.0,358724.0,2001,Gen Z,91276.0,2008072.0,9900000.0
BON01119,PEL01594,2024-02-13,Bandung,PRD00068,24,10,3,no,Agus JGZ,L,1980-06-17,PC Rakitan,MJ014,29000000.0,25312998.0,1980,Milenial,3687002.0,88488048.0,696000000.0
BON01121,PEL01013,2025-03-21,Bogor,PRD00073,21,15,5,no,Joko CYN,L,1988-11-11,PC Rakitan,MJ019,24000000.0,18575188.0,1988,Milenial,5424812.0,113921052.0,504000000.0
BON01122,PEL00660,2024-03-03,Bekasi,PRD00004,12,15,1,yes,Lia JUA,P,1997-12-21,Mouse,Corsair,425000.0,267954.0,1997,Gen Z,157046.0,1884552.0,5100000.0
BON01125,PEL00854,2024-06-04,Depok,PRD00045,26,15,2,no,Rina GRC,P,1967-08-10,Laptop,Acer,5000000.0,4016132.0,1967,Gen X,983868.0,25580568.0,130000000.0
BON01126,PEL01277,2023-11-14,Bogor,PRD00052,27,15,5,no,Agus FNR,L,1978-04-01,Laptop,Microsoft,13500000.0,11312162.0,1978,Gen X,2187838.0,59071626.0,364500000.0
BON01127,PEL01825,2023-08-21,Jakarta,PRD00051,27,15,1,yes,Rina ZRN,P,1970-05-25,Laptop,Samsung,9500000.0,7390128.0,1970,Gen X,2109872.0,56966544.0,256500000.0
BON01129,PEL00400,2021-07-04,Bogor,PRD00025,16,15,1,yes,Rina BIN,P,1989-11-16,Keyboard,Panasonic,400000.0,287728.0,1989,Milenial,112272.0,1796352.0,6400000.0
BON01130,PEL00786,2021-05-22,Bogor,PRD00019,22,15,3,no,Budi AKK,L,1978-02-08,Keyboard,Brother,1150000.0,843532.0,1978,Gen X,306468.0,6742296.0,25300000.0
BON01131,PEL01414,2021-02-01,Jakarta,PRD00043,23,5,3,no,Sari ZVY,P,1984-02-20,Speaker,Simbadda,1000000.0,619214.0,1984,Milenial,380786.0,8758078.0,23000000.0
BON01132,PEL01585,2023-03-03,Depok,PRD00014,26,0,5,no,Rudi PDD,L,1991-11-03,Monitor,Eizo,750000.0,557724.0,1991,Milenial,192276.0,4999176.0,19500000.0
BON01133,PEL01465,2022-01-28,Jakarta,PRD00035,16,0,1,yes,Agus GFG,L,1994-06-22,Printer,Panasonic,2000000.0,1788056.0,1994,Milenial,211944.0,3391104.0,32000000.0
BON01134,PEL01725,2024-05-08,Jakarta,PRD00001,10,5,4,no,Joko INA,L,1984-12-17,Mouse,Logitech,125000.0,107423.0,1984,Milenial,17577.0,175770.0,1250000.0
BON01135,PEL00526,2021-02-12,Tangerang,PRD00044,13,0,1,yes,Rina WPO,P,1990-02-14,Speaker,Polytron,200000.0,162998.0,1990,Milenial,37002.0,481026.0,2600000.0
BON01136,PEL01754,2024-05-06,Bogor,PRD00062,19,10,1,yes,Dedi EBP,L,1972-09-23,PC Rakitan,MJ008,11500000.0,8910960.0,1972,Gen X,2589040.0,49191760.0,218500000.0
BON01138,PEL01547,2022-11-22,Tangerang,PRD00006,10,5,1,yes,Joko MWG,L,1966-02-12,Monitor,LG,1900000.0,1147364.0,1966,Gen X,752636.0,7526360.0,19000000.0
BON01139,PEL01937,2021-12-16,Tangerang,PRD00025,94,25,1,yes,Rina QAB,P,1989-05-17,Keyboard,Panasonic,400000.0,287728.0,1989,Milenial,112272.0,10553568.0,37600000.0
BON01140,PEL01038,2021-05-21,Tangerang,PRD00001,10,0,4,no,Dedi FEZ,L,1998-05-19,Mouse,Logitech,125000.0,107423.0,1998,Gen Z,17577.0,175770.0,1250000.0
BON01141,PEL00203,2021-08-03,Depok,PRD00010,21,10,5,no,Budi SXT,L,2001-09-03,Monitor,BenQ,1950000.0,1409393.0,2001,Gen Z,540607.0,11352747.0,40950000.0
BON01142,PEL01031,2022-10-13,Bandung,PRD00018,30,5,3,no,Agus OWS,L,1973-10-12,Keyboard,HP,800000.0,605976.0,1973,Gen X,194024.0,5820720.0,24000000.0
BON01143,PEL01106,2024-07-20,Bekasi,PRD00030,14,5,2,no,Sari WJD,P,1983-09-11,Printer,Samsung,2700000.0,1800182.0,1983,Milenial,899818.0,12597452.0,37800000.0
BON01144,PEL01936,2022-09-20,Bekasi,PRD00006,18,15,5,no,Sari TJT,P,1977-04-02,Monitor,LG,1900000.0,1147364.0,1977,Gen X,752636.0,13547448.0,34200000.0
BON01145,PEL01567,2024-03-24,Bandung,PRD00016,29,10,5,no,Sari HMD,P,1980-04-11,Keyboard,Canon,1100000.0,902572.0,1980,Milenial,197428.0,5725412.0,31900000.0
BON01146,PEL01193,2022-06-25,Bekasi,PRD00003,28,5,1,yes,Tina RHX,P,2003-06-19,Mouse,SteelSeries,450000.0,358724.0,2003,Gen Z,91276.0,2555728.0,12600000.0
BON01147,PEL01270,2021-01-01,Jakarta,PRD00003,26,0,2,no,Dedi ROZ,L,1997-07-13,Mouse,SteelSeries,450000.0,358724.0,1997,Gen Z,91276.0,2373176.0,11700000.0
BON01148,PEL00123,2021-12-06,Bandung,PRD00001,58,25,5,no,Rudi XEP,L,1987-03-18,Mouse,Logitech,125000.0,107423.0,1987,Milenial,17577.0,1019466.0,7250000.0
BON01149,PEL01554,2023-12-09,Jakarta,PRD00048,50,25,1,yes,Tina LWC,P,1991-03-09,Laptop,Lenovo,19750000.0,14463191.0,1991,Milenial,5286809.0,264340450.0,987500000.0
BON01150,PEL00947,2022-01-28,Tangerang,PRD00031,30,10,5,no,Rina JVT,P,2003-07-16,Printer,Xerox,2700000.0,1999288.0,2003,Gen Z,700712.0,21021360.0,81000000.0
BON01152,PEL00323,2023-08-05,Bandung,PRD00047,20,0,2,no,Dewi RRR,P,1987-05-12,Laptop,HP,4750000.0,3623315.0,1987,Milenial,1126685.0,22533700.0,95000000.0
BON01153,PEL00560,2021-02-18,Jakarta,PRD00007,19,0,4,no,Rina REJ,P,1994-09-08,Monitor,Dell,1850000.0,1578030.0,1994,Milenial,271970.0,5167430.0,35150000.0
BON01154,PEL00538,2022-07-14,Bogor,PRD00029,21,15,4,no,Lia TZE,P,1974-02-11,Printer,Brother,900000.0,607976.0,1974,Gen X,292024.0,6132504.0,18900000.0
BON01155,PEL01770,2022-07-06,Tangerang,PRD00006,24,15,1,yes,Agus TWY,L,1991-04-04,Monitor,LG,1900000.0,1147364.0,1991,Milenial,752636.0,18063264.0,45600000.0
BON01156,PEL01484,2024-11-08,Bekasi,PRD00016,20,15,3,no,Rina YTF,P,1979-02-18,Keyboard,Canon,1100000.0,902572.0,1979,Gen X,197428.0,3948560.0,22000000.0
BON01157,PEL00706,2023-02-14,Bekasi,PRD00032,24,0,4,no,Dedi UNN,L,1988-08-26,Printer,Lexmark,2500000.0,1828761.0,1988,Milenial,671239.0,16109736.0,60000000.0
BON01158,PEL01343,2022-06-22,Jakarta,PRD00009,21,0,4,no,Rina VFN,P,1986-08-13,Monitor,Samsung,1600000.0,1139107.0,1986,Milenial,460893.0,9678753.0,33600000.0
BON01159,PEL00894,2023-07-07,Bekasi,PRD00033,27,10,3,no,Rina MHO,P,1981-09-16,Printer,Ricoh,1800000.0,1412073.0,1981,Milenial,387927.0,10474029.0,48600000.0
BON01160,PEL01904,2023-05-10,Bandung,PRD00015,10,5,5,no,Joko IOJ,L,1975-07-05,Monitor,ViewSonic,1950000.0,1227395.0,1975,Gen X,722605.0,7226050.0,19500000.0
BON01161,PEL00197,2023-11-05,Bogor,PRD00029,29,10,5,no,Dewi ZPA,P,1968-11-16,Printer,Brother,900000.0,607976.0,1968,Gen X,292024.0,8468696.0,26100000.0
BON01162,PEL00219,2022-05-06,Bogor,PRD00038,25,5,2,no,Lia MJM,P,1991-10-11,Speaker,Bose,1400000.0,929872.0,1991,Milenial,470128.0,11753200.0,35000000.0
BON01163,PEL00235,2025-03-02,Jakarta,PRD00071,18,15,5,no,Tina CAG,P,1982-07-02,PC Rakitan,MJ017,25000000.0,19070970.0,1982,Milenial,5929030.0,106722540.0,450000000.0
BON01164,PEL00020,2023-11-19,Bekasi,PRD00033,17,15,1,yes,Dewi OBL,P,1987-03-11,Printer,Ricoh,1800000.0,1412073.0,1987,Milenial,387927.0,6594759.0,30600000.0
BON01165,PEL00589,2025-06-06,Jakarta,PRD00001,30,15,4,no,Dewi EAJ,P,1999-06-21,Mouse,Logitech,125000.0,107423.0,1999,Gen Z,17577.0,527310.0,3750000.0
BON01166,PEL01346,2024-01-03,Tangerang,PRD00060,29,10,3,no,Sari IDN,P,1986-03-25,PC Rakitan,MJ006,27500000.0,19653764.0,1986,Milenial,7846236.0,227540844.0,797500000.0
BON01167,PEL00003,2022-05-05,Jakarta,PRD00010,10,10,1,yes,Sari FUM,P,1991-05-28,Monitor,BenQ,1950000.0,1409393.0,1991,Milenial,540607.0,5406070.0,19500000.0
BON01168,PEL01686,2022-04-16,Tangerang,PRD00043,12,15,2,no,Dedi FPV,L,1992-05-16,Speaker,Simbadda,1000000.0,619214.0,1992,Milenial,380786.0,4569432.0,12000000.0
BON01169,PEL01158,2023-07-03,Bekasi,PRD00010,15,10,4,no,Rudi ACE,L,1977-07-20,Monitor,BenQ,1950000.0,1409393.0,1977,Gen X,540607.0,8109105.0,29250000.0
BON01170,PEL01037,2023-12-01,Bogor,PRD00011,51,25,5,no,Dewi JXG,P,1971-12-14,Monitor,Acer,1000000.0,747733.0,1971,Gen X,252267.0,12865617.0,51000000.0
BON01172,PEL00509,2023-11-02,Bogor,PRD00032,27,15,1,yes,Dewi FVB,P,1991-10-11,Printer,Lexmark,2500000.0,1828761.0,1991,Milenial,671239.0,18123453.0,67500000.0
BON01174,PEL01493,2022-04-27,Bogor,PRD00026,14,10,1,yes,Agus VAE,L,1995-05-25,Printer,Canon,1800000.0,1375032.0,1995,Gen Z,424968.0,5949552.0,25200000.0
BON01176,PEL01047,2025-01-23,Tangerang,PRD00017,11,10,3,no,Lia YWJ,P,1985-10-20,Keyboard,Epson,1250000.0,983813.0,1985,Milenial,266187.0,2928057.0,13750000.0
BON01177,PEL01722,2024-05-17,Jakarta,PRD00060,11,15,5,no,Sari FSF,P,1992-09-17,PC Rakitan,MJ006,27500000.0,19653764.0,1992,Milenial,7846236.0,86308596.0,302500000.0
BON01178,PEL01040,2021-02-17,Bogor,PRD00007,25,5,1,yes,Agus TGL,L,1998-06-09,Monitor,Dell,1850000.0,1578030.0,1998,Gen Z,271970.0,6799250.0,46250000.0
BON01179,PEL00752,2022-04-16,Bekasi,PRD00025,17,0,2,no,Rudi DRS,L,1980-07-17,Keyboard,Panasonic,400000.0,287728.0,1980,Milenial,112272.0,1908624.0,6800000.0
BON01180,PEL01963,2022-12-22,Bandung,PRD00009,80,25,2,no,Rudi LSY,L,1984-07-16,Monitor,Samsung,1600000.0,1139107.0,1984,Milenial,460893.0,36871440.0,128000000.0
BON01181,PEL01625,2022-12-09,Jakarta,PRD00013,48,25,4,no,Lia YJI,P,1994-06-19,Monitor,Gigabyte,1100000.0,754049.0,1994,Milenial,345951.0,16605648.0,52800000.0
BON01184,PEL01472,2023-08-06,Depok,PRD00021,13,10,5,no,Agus CKO,L,2005-07-22,Keyboard,Xerox,750000.0,514953.0,2005,Gen Z,235047.0,3055611.0,9750000.0
BON01185,PEL01902,2021-08-21,Bogor,PRD00015,17,15,1,yes,Joko FCS,L,1992-09-26,Monitor,ViewSonic,1950000.0,1227395.0,1992,Milenial,722605.0,12284285.0,33150000.0
BON01186,PEL01278,2021-08-12,Jakarta,PRD00018,25,10,4,no,Lia AXE,P,1996-09-18,Keyboard,HP,800000.0,605976.0,1996,Gen Z,194024.0,4850600.0,20000000.0
BON01187,PEL00736,2024-12-17,Jakarta,PRD00050,49,25,3,no,Tina VOJ,P,1974-06-05,Laptop,MSI,19750000.0,17633164.0,1974,Gen X,2116836.0,103724964.0,967750000.0
BON01190,PEL01335,2024-12-01,Bogor,PRD00020,30,25,4,no,Sari EQO,P,1976-07-13,Keyboard,Samsung,600000.0,501505.0,1976,Gen X,98495.0,2954850.0,18000000.0
BON01191,PEL00090,2022-03-16,Depok,PRD00005,22,0,1,yes,Dedi JQR,L,1968-04-04,Mouse,Microsoft,225000.0,178221.0,1968,Gen X,46779.0,1029138.0,4950000.0
BON01193,PEL01600,2025-06-16,Bogor,PRD00027,21,15,1,yes,Agus DHN,L,1991-04-09,Printer,Epson,1800000.0,1129863.0,1991,Milenial,670137.0,14072877.0,37800000.0
BON01194,PEL00108,2022-01-07,Bandung,PRD00029,30,0,3,no,Rina VUF,P,1978-02-26,Printer,Brother,900000.0,607976.0,1978,Gen X,292024.0,8760720.0,27000000.0
BON01195,PEL00353,2022-02-06,Bogor,PRD00023,26,10,1,yes,Budi QPK,L,1991-05-07,Keyboard,Ricoh,450000.0,375091.0,1991,Milenial,74909.0,1947634.0,11700000.0
BON01196,PEL00745,2023-11-06,Bekasi,PRD00046,22,0,1,yes,Sari BCH,P,2001-11-10,Laptop,ASUS,12000000.0,10206638.0,2001,Gen Z,1793362.0,39453964.0,264000000.0
BON01197,PEL01514,2025-04-22,Depok,PRD00014,14,10,1,yes,Budi TKZ,L,2004-02-02,Monitor,Eizo,750000.0,557724.0,2004,Gen Z,192276.0,2691864.0,10500000.0
BON01198,PEL00337,2025-01-16,Jakarta,PRD00060,23,5,2,no,Dewi BWP,P,1980-11-17,PC Rakitan,MJ006,27500000.0,19653764.0,1980,Milenial,7846236.0,180463428.0,632500000.0
BON01199,PEL01847,2025-02-28,Tangerang,PRD00056,20,0,4,no,Lia NJW,P,1980-09-06,PC Rakitan,MJ002,11000000.0,8515886.0,1980,Milenial,2484114.0,49682280.0,220000000.0
BON01200,PEL01926,2023-10-13,Bogor,PRD00010,21,0,3,no,Budi VXY,L,1980-04-07,Monitor,BenQ,1950000.0,1409393.0,1980,Milenial,540607.0,11352747.0,40950000.0
BON01201,PEL00961,2024-05-15,Depok,PRD00030,17,5,4,no,Dewi WDQ,P,2003-03-09,Printer,Samsung,2700000.0,1800182.0,2003,Gen Z,899818.0,15296906.0,45900000.0
BON01202,PEL00128,2023-06-10,Jakarta,PRD00052,19,5,1,yes,Rina SOU,P,1968-04-21,Laptop,Microsoft,13500000.0,11312162.0,1968,Gen X,2187838.0,41568922.0,256500000.0
BON01203,PEL00606,2024-09-03,Depok,PRD00062,13,15,5,no,Lia UFD,P,1998-05-09,PC Rakitan,MJ008,11500000.0,8910960.0,1998,Gen Z,2589040.0,33657520.0,149500000.0
BON01204,PEL00358,2024-12-03,Depok,PRD00074,81,25,5,no,Joko RDF,L,1982-07-03,PC Rakitan,MJ020,21500000.0,13410455.0,1982,Milenial,8089545.0,655253145.0,1741500000.0
