no_bon,id_pelanggan,tanggal_bon,kota,id_produk,jumlah_terjual,diskon,rating,Komplain,nama_pelanggan,gender,tanggal_lahir,jenis_barang,merek_barang,harga_satuan,modal
BON09448,PEL00460,2/22/2022,Depok,PRD00037,18,5,1,yes,Agus KKN,L,11/11/1987,Speaker,Sony,700000.0,589264.0
BON09634,PEL01021,2/22/2022,Depok,PRD00004,25,15,3,no,Joko DXG,L,6/12/2005,Mouse,Corsair,425000.0,267954.0
BON09672,PEL00252,2/22/2022,Bandung,PRD00001,19,15,5,no,Rudi QTI,L,1/1/1973,Mouse,Logitech,125000.0,107423.0
BON01283,PEL01283,2/23/2022,Jakarta,PRD00001,20,5,3,no,Dewi BBF,P,10/18/1969,Mouse,Logitech,125000.0,107423.0
BON02132,PEL00605,2/23/2022,Tangerang,PRD00003,18,10,2,no,Rudi HYZ,L,3/22/2004,Mouse,SteelSeries,450000.0,358724.0
BON04401,PEL01552,2/23/2022,Jakarta,PRD00028,10,15,4,no,Dewi ZSS,P,11/21/1988,Printer,HP,2800000.0,1776707.0
BON07079,PEL01640,2/23/2022,Bandung,PRD00031,25,10,5,no,Tina WWN,P,6/25/1994,Printer,Xerox,2700000.0,1999288.0
BON09888,PEL00008,2/23/2022,Bogor,PRD00019,29,0,4,no,Sari WQM,P,2/22/1980,Keyboard,Brother,1150000.0,843532.0
,PEL01617,2/24/2022,Bekasi,PRD00036,24,10,5,no,Agus TKE,L,6/13/1984,Speaker,JBL,1200000.0,807918.0
BON00691,PEL01430,2/24/2022,Tangerang,PRD00029,15,15,5,no,Tina ZXE,P,2/22/1980,Printer,Brother,900000.0,607976.0
BON00927,PEL01788,2/24/2022,Bandung,,25,5,5,no,Joko AXK,L,10/25/1997,,,,
BON00980,PEL01103,2/24/2022,Bogor,PRD00007,29,5,1,yes,Tina ZOE,P,5/3/1985,Monitor,Dell,1850000.0,1578030.0
BON02073,PEL01966,2/24/2022,Bekasi,PRD00017,11,5,2,no,Rudi ZDL,L,6/19/1993,Keyboard,Epson,1250000.0,983813.0
BON02907,PEL00542,2/24/2022,Bekasi,PRD00041,30,0,3,no,Rina WMO,P,3/27/1999,Speaker,Advance,900000.0,624242.0
BON03324,PEL01735,2/24/2022,Tangerang,PRD00041,13,5,4,no,Dewi HBG,P,4/11/2005,Speaker,Advance,900000.0,624242.0
BON06240,PEL01000,2/24/2022,Bekasi,PRD00009,25,5,2,no,Dedi LAU,L,5/12/1973,Monitor,Samsung,1600000.0,1139107.0
BON07734,PEL01480,2/24/2022,Bekasi,PRD00010,17,0,4,no,Dedi LSI,L,6/10/1968,Monitor,BenQ,1950000.0,1409393.0
BON00266,PEL00505,2/25/2022,Jakarta,PRD00028,26,15,1,yes,Rina AEZ,P,4/24/1990,Printer,HP,2800000.0,1776707.0
BON00615,PEL01257,2/25/2022,Tangerang,PRD00014,26,10,2,no,Lia IOI,P,3/2/1967,Monitor,Eizo,750000.0,557724.0
BON01646,PEL01312,2/25/2022,Jakarta,PRD00009,17,10,4,no,Rudi MFD,L,5/11/1993,Monitor,Samsung,1600000.0,1139107.0
BON05371,PEL01488,2/25/2022,Depok,PRD00034,30,0,3,no,Dewi TNB,P,6/17/2003,Printer,Kyocera,2200000.0,1936263.0
BON06146,PEL01854,2/25/2022,Tangerang,PRD00008,27,15,4,no,Rudi BFF,L,3/17/1969,Monitor,ASUS,1850000.0,1548728.0
BON06867,PEL01537,2/25/2022,Tangerang,PRD00015,26,15,5,no,Dewi VDA,P,8/28/1975,Monitor,ViewSonic,1950000.0,1227395.0
BON09452,PEL01912,2/25/2022,Tangerang,PRD00009,19,5,4,no,Dedi CYJ,L,2/3/1969,Monitor,Samsung,1600000.0,1139107.0
BON02373,PEL01084,2/26/2022,Bandung,PRD00044,30,5,5,no,Rudi UKZ,L,7/7/1986,Speaker,Polytron,200000.0,162998.0
BON02644,PEL00495,2/26/2022,Jakarta,PRD00014,11,0,3,no,Agus QMK,L,10/23/1975,Monitor,Eizo,750000.0,557724.0
BON02398,PEL01569,2/27/2022,Jakarta,PRD00001,11,0,3,no,Rina TQJ,P,9/24/2002,Mouse,Logitech,125000.0,107423.0
BON03608,PEL00411,2/27/2022,Bekasi,PRD00013,16,0,2,no,Sari YCR,P,1/24/1987,Monitor,Gigabyte,1100000.0,754049.0
BON05267,PEL00303,2/27/2022,Depok,PRD00038,12,5,4,no,Tina ALQ,P,9/16/1965,Speaker,Bose,1400000.0,929872.0
BON07543,,2/27/2022,Depok,PRD00034,11,10,1,yes,,,,Printer,Kyocera,2200000.0,1936263.0
BON09491,PEL00034,2/27/2022,Tangerang,PRD00003,30,5,1,yes,Tina HHL,P,6/1/2003,Mouse,SteelSeries,450000.0,358724.0
BON03250,PEL01544,2/28/2022,Bandung,PRD00019,26,10,4,no,Budi NPI,L,1/6/2002,Keyboard,Brother,1150000.0,843532.0
BON05575,PEL00538,2/28/2022,Tangerang,PRD00005,13,10,3,no,Lia TZE,P,2/11/1974,Mouse,Microsoft,225000.0,178221.0
BON05792,PEL00690,2/28/2022,Bekasi,PRD00031,17,15,4,no,Joko GNY,L,10/6/2004,Printer,Xerox,2700000.0,1999288.0
BON05056,PEL01576,3/1/2022,Jakarta,PRD00021,24,10,2,no,Dewi NYP,P,1/2/2000,Keyboard,Xerox,750000.0,514953.0
BON05100,PEL00217,3/1/2022,Bogor,PRD00009,15,10,1,yes,Joko EIA,L,4/6/1970,Monitor,Samsung,1600000.0,1139107.0
BON00421,PEL01257,3/2/2022,Bekasi,PRD00025,27,15,1,yes,Lia IOI,P,3/2/1967,Keyboard,Panasonic,400000.0,287728.0
BON01997,PEL00002,3/2/2022,Bekasi,PRD00031,28,0,5,no,Budi GOH,L,3/20/1978,Printer,Xerox,2700000.0,1999288.0
BON02179,PEL00909,3/2/2022,Bogor,PRD00035,10,15,2,no,Rudi EGA,L,7/20/1975,Printer,Panasonic,2000000.0,1788056.0
BON02557,PEL01137,3/2/2022,Bogor,PRD00007,13,15,5,no,Rina MOO,P,4/2/2004,Monitor,Dell,1850000.0,1578030.0
BON09177,PEL01721,3/2/2022,Tangerang,PRD00014,16,15,1,yes,Sari GOJ,P,8/7/1984,Monitor,Eizo,750000.0,557724.0
BON03904,PEL01811,3/3/2022,Bogor,PRD00043,29,10,4,no,Lia QUM,P,5/21/1977,Speaker,Simbadda,1000000.0,619214.0
BON05774,PEL01347,3/3/2022,Depok,PRD00038,14,0,1,yes,Rudi BYP,L,3/6/1990,Speaker,Bose,1400000.0,929872.0
BON07816,PEL00178,3/3/2022,Jakarta,PRD00038,20,15,5,no,Dewi GZU,P,7/7/1979,Speaker,Bose,1400000.0,929872.0
BON00444,PEL01929,3/4/2022,Tangerang,PRD00004,28,15,5,no,Rudi AGL,L,12/19/2004,Mouse,Corsair,425000.0,267954.0
BON01595,PEL01574,3/4/2022,Bekasi,PRD00037,28,10,1,yes,Rina ZMN,P,4/19/1965,Speaker,Sony,700000.0,589264.0
BON01925,PEL01631,3/4/2022,Bogor,PRD00036,14,10,5,no,Sari LAY,P,1/8/1985,Speaker,JBL,1200000.0,807918.0
BON06917,PEL00092,3/4/2022,Tangerang,PRD00002,14,0,2,no,Sari FXP,P,5/22/1992,Mouse,Razer,125000.0,87603.0
BON09585,PEL00421,3/4/2022,Bogor,PRD00020,16,5,1,yes,Dewi EXW,P,2/10/1994,Keyboard,Samsung,600000.0,501505.0
BON01310,PEL00883,3/5/2022,Bogor,PRD00020,24,0,2,no,Rina NWG,P,1/7/1980,Keyboard,Samsung,600000.0,501505.0
BON02798,PEL01093,3/5/2022,Depok,PRD00023,19,10,3,no,Joko SWP,L,8/16/1990,Keyboard,Ricoh,450000.0,375091.0
BON03606,PEL00496,3/5/2022,Depok,PRD00020,30,15,2,no,Rina IEH,P,1/14/1982,Keyboard,Samsung,600000.0,501505.0
BON04414,PEL00022,3/5/2022,Depok,PRD00003,17,15,3,no,Dedi YZO,L,8/12/2003,Mouse,SteelSeries,450000.0,358724.0
BON04863,PEL00870,3/5/2022,Bekasi,PRD00037,20,0,4,no,Dedi NVM,L,3/9/1986,Speaker,Sony,700000.0,589264.0
,PEL01453,3/5/2022,Jakarta,PRD00026,17,0,1,yes,Rina QYL,P,10/3/2001,Printer,Canon,1800000.0,1375032.0
BON07162,PEL00223,3/5/2022,Jakarta,PRD00001,22,5,3,no,Tina FTY,P,6/20/1981,Mouse,Logitech,125000.0,107423.0
BON07542,PEL00640,3/5/2022,Bekasi,PRD00017,30,10,2,no,Rina KWM,P,4/22/1972,Keyboard,Epson,1250000.0,983813.0
BON08332,PEL00390,3/5/2022,Bandung,PRD00035,15,15,2,no,Budi DLF,L,4/25/2001,Printer,Panasonic,2000000.0,1788056.0
BON03132,PEL01384,3/6/2022,Bekasi,PRD00037,21,0,4,no,Dedi ARF,L,1/17/1981,Speaker,Sony,700000.0,589264.0
BON06308,PEL00165,3/6/2022,Tangerang,PRD00006,12,0,3,no,Rina PKZ,P,2/16/1990,Monitor,LG,1900000.0,1147364.0
BON07060,PEL01849,3/6/2022,,PRD00022,23,10,5,no,Lia DYK,P,3/24/1984,Keyboard,Lexmark,550000.0,477099.0
BON07760,PEL01031,3/6/2022,Jakarta,PRD00021,13,0,4,no,Agus OWS,L,10/12/1973,Keyboard,Xerox,750000.0,514953.0
BON01401,PEL01055,3/7/2022,Bekasi,PRD00033,27,5,3,no,Joko EMI,L,1/5/1998,Printer,Ricoh,1800000.0,1412073.0
BON01689,PEL01026,3/7/2022,Jakarta,PRD00040,24,5,1,yes,Rina JKU,P,5/24/1972,Speaker,Harman Kardon,500000.0,359780.0
BON02150,PEL00220,3/7/2022,Depok,PRD00037,18,5,3,no,Rina XYK,P,1/27/1971,Speaker,Sony,700000.0,589264.0
BON03817,PEL00006,3/7/2022,Bekasi,PRD00005,26,0,1,yes,Sari BDR,P,3/8/1971,Mouse,Microsoft,225000.0,178221.0
BON06726,PEL01798,3/7/2022,Tangerang,PRD00018,25,5,5,no,Rina JRZ,P,9/6/1973,Keyboard,HP,800000.0,605976.0
BON07275,PEL00885,3/7/2022,Jakarta,PRD00012,24,0,2,no,Sari ITO,P,9/14/1985,Monitor,MSI,1800000.0,1596299.0
BON09438,PEL00875,3/7/2022,Bandung,,12,5,4,no,Budi JLF,L,11/8/1982,,,,
BON09750,PEL01905,3/7/2022,Tangerang,PRD00035,26,10,3,no,Sari RDD,P,4/14/1965,Printer,Panasonic,2000000.0,1788056.0
BON00084,PEL01107,3/8/2022,Depok,PRD00040,30,0,1,yes,Dewi XMO,P,8/4/2004,Speaker,Harman Kardon,500000.0,359780.0
BON01714,PEL01193,3/8/2022,Bekasi,PRD00011,18,5,2,no,Tina RHX,P,6/19/2003,Monitor,Acer,1000000.0,747733.0
BON01916,PEL01114,3/8/2022,Bandung,PRD00018,25,5,2,no,Dewi VMS,P,3/9/1977,Keyboard,HP,800000.0,605976.0
BON04554,PEL00536,3/8/2022,Depok,PRD00036,16,10,5,no,Budi HXO,L,10/18/1971,Speaker,JBL,1200000.0,807918.0
BON04742,PEL00874,3/8/2022,Tangerang,PRD00009,21,0,4,no,Budi ZQI,L,8/9/2004,Monitor,Samsung,1600000.0,1139107.0
BON07595,PEL01177,3/8/2022,Tangerang,PRD00005,12,5,2,no,Lia GBN,P,10/21/1997,Mouse,Microsoft,225000.0,178221.0
BON08806,PEL01790,3/8/2022,Jakarta,PRD00002,27,5,2,no,Dewi JRS,P,9/5/1980,Mouse,Razer,125000.0,87603.0
BON05690,PEL01161,3/9/2022,Bekasi,PRD00009,20,10,5,no,Dewi NWT,P,6/13/1999,Monitor,Samsung,1600000.0,1139107.0
BON08144,PEL01349,3/9/2022,Depok,PRD00009,30,10,5,no,Rina NBT,P,12/8/1985,Monitor,Samsung,1600000.0,1139107.0
BON09617,PEL00032,3/9/2022,Jakarta,PRD00006,27,10,4,no,Budi HZS,L,2/28/1965,Monitor,LG,1900000.0,1147364.0
BON00433,PEL01131,3/10/2022,Bandung,PRD00026,19,15,1,yes,Agus BMM,L,9/20/1981,Printer,Canon,1800000.0,1375032.0
BON00942,PEL00727,3/10/2022,Depok,PRD00008,30,5,4,no,Lia BUH,P,8/3/2003,Monitor,ASUS,1850000.0,1548728.0
BON01573,PEL01407,3/10/2022,Bandung,PRD00039,11,0,1,yes,Dewi CHC,P,12/16/2003,Speaker,Logitech,900000.0,573618.0
BON01728,PEL00856,3/10/2022,Depok,PRD00042,16,5,5,no,Dedi FAV,L,4/21/1992,Speaker,Robot,1500000.0,1241712.0
BON05828,PEL00124,3/10/2022,Bandung,PRD00016,18,0,5,no,Dedi CRE,L,1/3/2004,Keyboard,Canon,1100000.0,902572.0
BON07767,PEL00166,3/10/2022,Bekasi,PRD00008,11,5,5,no,Rina RUL,P,4/26/1997,Monitor,ASUS,1850000.0,1548728.0
BON07809,PEL01930,3/10/2022,Bogor,PRD00006,24,0,2,no,Dedi WJG,L,4/3/1966,Monitor,LG,1900000.0,1147364.0
BON08586,PEL01882,3/10/2022,Jakarta,PRD00042,11,15,2,no,Lia KUM,P,7/6/1979,Speaker,Robot,1500000.0,1241712.0
BON09767,PEL00986,3/10/2022,Bogor,PRD00032,24,0,2,no,Rina TZL,P,4/14/1972,Printer,Lexmark,2500000.0,1828761.0
BON00218,PEL00269,3/11/2022,Tangerang,PRD00023,22,10,4,no,Rudi CHB,L,7/1/1999,Keyboard,Ricoh,450000.0,375091.0
BON00451,PEL01920,3/11/2022,Depok,PRD00008,24,10,2,no,Dedi KZG,L,9/19/1988,Monitor,ASUS,1850000.0,1548728.0
BON01522,PEL01559,3/11/2022,Depok,PRD00035,29,15,1,yes,Agus QOB,L,9/9/1973,Printer,Panasonic,2000000.0,1788056.0
BON02763,PEL00872,3/11/2022,Bandung,PRD00031,24,15,5,no,Sari DGC,P,9/20/1993,Printer,Xerox,2700000.0,1999288.0
BON03015,PEL01610,3/11/2022,Jakarta,PRD00014,12,15,2,no,Sari BWD,P,8/2/1983,Monitor,Eizo,750000.0,557724.0
BON06864,PEL01929,3/11/2022,Depok,PRD00041,23,0,2,no,Rudi AGL,L,12/19/2004,Speaker,Advance,900000.0,624242.0
BON07487,PEL01799,3/11/2022,Bandung,PRD00022,11,0,4,no,Rina FLS,P,5/19/1993,Keyboard,Lexmark,550000.0,477099.0
BON08406,PEL00935,3/11/2022,Tangerang,PRD00037,28,5,3,no,Tina IYL,P,1/21/1996,Speaker,Sony,700000.0,589264.0
BON08719,PEL01544,3/11/2022,Depok,PRD00004,17,10,1,yes,Budi NPI,L,1/6/2002,Mouse,Corsair,425000.0,267954.0
BON09358,PEL00925,3/11/2022,Bandung,PRD00037,14,15,5,no,Tina NLQ,P,5/21/1981,Speaker,Sony,700000.0,589264.0
BON08719,PEL01544,3/11/2022,Depok,PRD00004,17,10,1,yes,Budi NPI,L,1/6/2002,Mouse,Corsair,425000.0,267954.0
BON00537,PEL01704,3/12/2022,Jakarta,PRD00019,27,15,3,no,Lia RMO,P,3/21/2003,Keyboard,Brother,1150000.0,843532.0
BON03011,PEL00290,3/12/2022,Bekasi,PRD00032,26,0,3,no,Rina PYY,P,1/13/1967,Printer,Lexmark,2500000.0,1828761.0
BON03491,PEL00551,3/12/2022,Bekasi,PRD00002,13,5,5,no,Joko JDE,L,7/7/1974,Mouse,Razer,125000.0,87603.0
BON03614,PEL01248,3/12/2022,Depok,PRD00015,21,0,3,no,Tina REU,P,9/19/2001,Monitor,ViewSonic,1950000.0,1227395.0
BON04161,PEL01113,3/12/2022,Tangerang,PRD00035,10,0,1,yes,Sari SOO,P,4/11/2001,Printer,Panasonic,2000000.0,1788056.0
BON05313,PEL00062,3/12/2022,Jakarta,PRD00044,25,0,5,no,Joko POP,L,5/9/1967,Speaker,Polytron,200000.0,162998.0
BON08470,PEL01527,3/12/2022,Tangerang,PRD00011,13,10,3,no,Dedi SKB,L,5/17/1999,Monitor,Acer,1000000.0,747733.0
BON08986,PEL00800,3/12/2022,Bogor,PRD00001,12,15,2,no,Sari OSK,P,12/11/1987,Mouse,Logitech,125000.0,107423.0
BON00529,PEL00742,3/13/2022,,PRD00023,16,5,5,no,Agus OAH,L,2/26/1997,Keyboard,Ricoh,450000.0,375091.0
BON01251,PEL01933,3/13/2022,Depok,PRD00023,14,0,5,no,Sari EIM,P,10/8/1981,Keyboard,Ricoh,450000.0,375091.0
BON04185,PEL01406,3/13/2022,Tangerang,PRD00020,11,10,3,no,Budi EIN,L,4/17/1990,Keyboard,Samsung,600000.0,501505.0
BON05946,PEL00762,3/13/2022,Jakarta,PRD00008,10,10,5,no,Lia WHK,P,2/19/1974,Monitor,ASUS,1850000.0,1548728.0
BON06235,PEL00988,3/13/2022,Bekasi,PRD00040,16,5,3,no,Budi TSL,L,5/3/1965,Speaker,Harman Kardon,500000.0,359780.0
BON07202,PEL01556,3/13/2022,Jakarta,PRD00016,30,5,1,yes,Tina AXF,P,10/21/2004,Keyboard,Canon,1100000.0,902572.0
BON02142,PEL00728,3/14/2022,Depok,,14,15,3,no,Dedi YXV,L,2/12/1994,,,,
BON03604,PEL00707,3/14/2022,Bogor,PRD00002,26,15,2,no,Lia JSC,P,1/5/1969,Mouse,Razer,125000.0,87603.0
BON06484,PEL00319,3/14/2022,Bandung,PRD00028,17,10,1,yes,Lia IAC,P,2/9/1993,Printer,HP,2800000.0,1776707.0
BON06698,PEL00082,3/14/2022,Depok,PRD00013,23,15,3,no,Agus JCN,L,4/5/1982,Monitor,Gigabyte,1100000.0,754049.0
BON09323,PEL00107,3/14/2022,Bogor,PRD00041,12,15,5,no,Dewi EVX,P,10/19/1998,Speaker,Advance,900000.0,624242.0
,PEL00864,3/15/2022,Tangerang,PRD00019,26,0,4,no,Dedi XDF,L,3/12/1993,Keyboard,Brother,1150000.0,843532.0
BON04385,PEL01166,3/15/2022,Tangerang,PRD00018,13,0,4,no,Lia HQM,P,8/3/1971,Keyboard,HP,800000.0,605976.0
BON06838,PEL01473,3/15/2022,Tangerang,PRD00011,25,15,3,no,Tina VXY,P,5/23/2000,Monitor,Acer,1000000.0,747733.0
BON08491,PEL00163,3/15/2022,Tangerang,PRD00002,16,15,5,no,Dewi EFC,P,5/25/1999,Mouse,Razer,125000.0,87603.0
BON09587,PEL00574,3/15/2022,Tangerang,PRD00004,19,15,1,yes,Tina XVD,P,12/25/1981,Mouse,Corsair,425000.0,267954.0
BON00282,PEL01703,3/16/2022,Bekasi,PRD00010,11,0,2,no,Rudi VXH,L,8/20/1975,Monitor,BenQ,1950000.0,1409393.0
BON01191,PEL00090,3/16/2022,Depok,PRD00005,22,0,1,yes,Dedi JQR,L,4/4/1968,Mouse,Microsoft,225000.0,178221.0
BON03734,PEL01436,3/16/2022,Tangerang,PRD00042,19,0,1,yes,Budi JDT,L,2/19/1998,Speaker,Robot,1500000.0,1241712.0
BON05381,PEL00493,3/16/2022,Bandung,PRD00044,19,15,1,yes,Dedi YOX,L,6/18/1998,Speaker,Polytron,200000.0,162998.0
BON08837,PEL00359,3/16/2022,Bandung,PRD00043,22,0,1,yes,Agus KYZ,L,4/22/1986,Speaker,Simbadda,1000000.0,619214.0
BON09388,PEL01146,3/16/2022,Bekasi,PRD00044,14,15,5,no,Rudi JYN,L,2/6/2001,Speaker,Polytron,200000.0,162998.0
BON00863,PEL01851,3/17/2022,Jakarta,PRD00008,27,15,5,no,Budi SHV,L,6/23/1995,Monitor,ASUS,1850000.0,1548728.0
BON02017,PEL00283,3/17/2022,Bekasi,PRD00035,18,15,5,no,Dewi IJS,P,5/21/1991,Printer,Panasonic,2000000.0,1788056.0
BON02812,PEL01354,3/17/2022,Bogor,PRD00026,27,15,2,no,Rina TTW,P,3/9/1991,Printer,Canon,1800000.0,1375032.0
BON03772,PEL01235,3/17/2022,Bekasi,PRD00017,17,15,4,no,Dedi XCU,L,9/28/1985,Keyboard,Epson,1250000.0,983813.0
BON04871,PEL01413,3/17/2022,Bogor,PRD00043,15,0,4,no,Dedi OIR,L,2/6/1974,Speaker,Simbadda,1000000.0,619214.0
BON06355,PEL00468,3/17/2022,Depok,PRD00023,30,0,1,yes,Dedi YFS,L,2/9/1979,Keyboard,Ricoh,450000.0,375091.0
BON08995,PEL01829,3/17/2022,Bogor,PRD00019,22,15,3,no,Rudi UNN,L,2/27/1993,Keyboard,Brother,1150000.0,843532.0
BON01712,PEL01484,3/18/2022,Bogor,PRD00024,29,5,5,no,Rina YTF,P,2/18/1979,Keyboard,Kyocera,850000.0,759960.0
BON02032,PEL01369,3/18/2022,Tangerang,PRD00012,13,0,1,yes,Budi HUH,L,2/6/1980,Monitor,MSI,1800000.0,1596299.0
BON03379,PEL01719,3/18/2022,Bekasi,PRD00019,12,10,3,no,Agus RCB,L,10/24/1990,Keyboard,Brother,1150000.0,843532.0
BON03531,PEL00010,3/18/2022,Tangerang,PRD00019,24,0,2,no,Budi FHR,L,4/14/1990,Keyboard,Brother,1150000.0,843532.0
BON03533,PEL00112,3/18/2022,Jakarta,PRD00003,29,10,1,yes,Sari EUO,P,2/18/1973,Mouse,SteelSeries,450000.0,358724.0
BON03777,PEL00994,3/18/2022,Depok,PRD00036,18,15,1,yes,Rudi KFG,L,7/28/2003,Speaker,JBL,1200000.0,807918.0
BON04485,PEL00703,3/18/2022,Bekasi,PRD00012,10,15,3,no,Tina WCY,P,5/13/1965,Monitor,MSI,1800000.0,1596299.0
BON00033,PEL00397,3/19/2022,Bekasi,PRD00011,24,0,5,no,Lia WOE,P,12/11/1983,Monitor,Acer,1000000.0,747733.0
BON02511,PEL00088,3/19/2022,Bogor,PRD00024,17,10,1,yes,Rina XPJ,P,2/12/1985,Keyboard,Kyocera,850000.0,759960.0
BON04608,PEL00952,3/19/2022,Depok,PRD00011,26,10,2,no,Tina HMX,P,9/8/1972,Monitor,Acer,1000000.0,747733.0
BON04966,PEL00212,3/19/2022,Depok,PRD00034,10,0,1,yes,Budi ILA,L,12/27/1998,Printer,Kyocera,2200000.0,1936263.0
BON07054,PEL00107,3/19/2022,Tangerang,PRD00020,16,0,5,no,Dewi EVX,P,10/19/1998,Keyboard,Samsung,600000.0,501505.0
BON07117,PEL00730,3/19/2022,Bekasi,PRD00001,30,10,2,no,Dewi WHZ,P,4/23/1989,Mouse,Logitech,125000.0,107423.0
BON07684,PEL00728,3/19/2022,Jakarta,PRD00011,16,10,5,no,Dedi YXV,L,2/12/1994,Monitor,Acer,1000000.0,747733.0
BON07978,PEL00299,3/19/2022,Tangerang,PRD00037,19,0,2,no,Agus WSO,L,6/6/1971,Speaker,Sony,700000.0,589264.0
BON08468,PEL00050,3/19/2022,Depok,PRD00016,25,10,2,no,Dewi TAF,P,6/1/1983,Keyboard,Canon,1100000.0,902572.0
BON02584,PEL01151,3/20/2022,Bandung,PRD00012,11,5,2,no,Lia TUD,P,2/25/1982,Monitor,MSI,1800000.0,1596299.0
BON03173,PEL01840,3/20/2022,Bandung,PRD00035,30,10,4,no,Rudi RUR,L,1/13/2003,Printer,Panasonic,2000000.0,1788056.0
BON03761,PEL01784,3/20/2022,Jakarta,PRD00001,30,5,2,no,Sari SXM,P,6/1/1965,Mouse,Logitech,125000.0,107423.0
BON05592,PEL00229,3/20/2022,Jakarta,PRD00011,29,5,5,no,Joko ZAT,L,12/3/1968,Monitor,Acer,1000000.0,747733.0
BON07421,PEL01832,3/20/2022,Jakarta,PRD00005,28,10,4,no,Dedi TIZ,L,3/7/2002,Mouse,Microsoft,225000.0,178221.0
BON07744,PEL01955,3/20/2022,Jakarta,PRD00038,12,15,2,no,Joko VWT,L,5/9/2002,Speaker,Bose,1400000.0,929872.0
BON00632,PEL01439,3/21/2022,Depok,PRD00026,10,5,1,yes,Dewi JAF,P,3/14/2001,Printer,Canon,1800000.0,1375032.0
BON01118,PEL00294,3/21/2022,Depok,PRD00003,22,15,2,no,Dewi OQE,P,12/4/2001,Mouse,SteelSeries,450000.0,358724.0
BON02965,PEL00348,3/21/2022,Bekasi,PRD00037,28,15,4,no,Dedi YAK,L,8/11/1968,Speaker,Sony,700000.0,589264.0
BON06822,PEL01382,3/21/2022,Tangerang,PRD00025,26,5,5,no,Dedi ZWB,L,7/10/1965,Keyboard,Panasonic,400000.0,287728.0
BON00723,PEL01628,3/22/2022,Bekasi,PRD00001,15,15,4,no,Joko OTN,L,11/22/1984,Mouse,Logitech,125000.0,107423.0
BON01111,PEL01021,3/22/2022,Bekasi,PRD00004,14,5,1,yes,Joko DXG,L,6/12/2005,Mouse,Corsair,425000.0,267954.0
BON02098,PEL00993,3/22/2022,Depok,PRD00017,20,15,5,no,Agus TUV,L,7/16/1980,Keyboard,Epson,1250000.0,983813.0
BON02806,PEL00292,3/22/2022,Depok,PRD00029,10,15,4,no,Rudi YQB,L,7/13/1981,Printer,Brother,900000.0,607976.0
BON04841,PEL00433,3/22/2022,Bekasi,PRD00003,20,0,2,no,Rina IWY,P,7/8/1993,Mouse,SteelSeries,450000.0,358724.0
BON05430,PEL01745,3/22/2022,Depok,PRD00023,19,5,5,no,Dedi MLD,L,5/2/1983,Keyboard,Ricoh,450000.0,375091.0
BON08575,PEL00783,3/22/2022,Bogor,,18,15,3,no,Dedi PJS,L,6/20/1979,,,,
BON09103,PEL00280,3/22/2022,Bandung,PRD00017,21,5,1,yes,Lia YQN,P,2/9/1974,Keyboard,Epson,1250000.0,983813.0
BON03174,PEL00043,3/23/2022,Bogor,PRD00037,15,0,2,no,Lia ITE,P,8/16/1990,Speaker,Sony,700000.0,589264.0
BON03946,PEL01979,3/23/2022,Bekasi,PRD00042,26,10,1,yes,Sari ZJN,P,9/19/1965,Speaker,Robot,1500000.0,1241712.0
BON04709,PEL00169,3/23/2022,Tangerang,PRD00017,15,5,5,no,Dedi EEG,L,2/23/1988,Keyboard,Epson,1250000.0,983813.0
BON04762,PEL01916,3/23/2022,Bandung,PRD00041,19,0,1,yes,Tina HAB,P,6/19/1997,Speaker,Advance,900000.0,624242.0
BON05160,PEL01941,3/23/2022,Jakarta,PRD00012,17,5,3,no,Dedi JEA,L,10/18/2001,Monitor,MSI,1800000.0,1596299.0
BON05213,PEL00102,3/23/2022,Bogor,PRD00018,16,0,2,no,Budi MJF,L,7/14/1979,Keyboard,HP,800000.0,605976.0
BON05525,PEL01126,3/23/2022,Bekasi,PRD00011,16,5,2,no,Tina QJJ,P,11/7/1971,Monitor,Acer,1000000.0,747733.0
BON06697,PEL01176,3/23/2022,Bogor,PRD00002,19,0,4,no,Lia UNL,P,5/24/1985,Mouse,Razer,125000.0,87603.0
BON07221,PEL01280,3/23/2022,Bekasi,PRD00023,14,10,5,no,Agus YSW,L,8/1/1976,Keyboard,Ricoh,450000.0,375091.0
BON03956,PEL00568,3/24/2022,Bogor,PRD00041,19,10,2,no,Lia SZA,P,4/2/1970,Speaker,Advance,900000.0,624242.0
BON04598,PEL01817,3/24/2022,Bekasi,PRD00004,26,0,4,no,Joko LEE,L,8/3/1970,Mouse,Corsair,425000.0,267954.0
BON02195,PEL00629,3/25/2022,,PRD00032,10,15,2,no,Lia NFP,P,7/9/1979,Printer,Lexmark,2500000.0,1828761.0
BON07694,PEL01088,3/25/2022,Bogor,PRD00031,28,10,1,yes,Dedi DKK,L,8/1/1976,Printer,Xerox,2700000.0,1999288.0
BON01682,PEL01885,3/26/2022,Bekasi,PRD00004,16,15,5,no,Joko IES,L,2/10/1982,Mouse,Corsair,425000.0,267954.0
BON01810,PEL00715,3/26/2022,Tangerang,PRD00005,28,0,4,no,Sari VCS,P,8/15/1986,Mouse,Microsoft,225000.0,178221.0
BON01869,PEL01276,3/26/2022,Bekasi,PRD00019,21,15,4,no,Dedi BVU,L,4/20/1979,Keyboard,Brother,1150000.0,843532.0
